state,crime,incidents,victims
Andhra Pradesh,Murder-Sec 302 IPC,1123,1187
Arunachal Pradesh,Murder-Sec 302 IPC,46,49
Assam,Murder-Sec 302 IPC,1149,1149
Bihar,Murder-Sec 302 IPC,2581,2593
Chhattisgarh,Murder-Sec 302 IPC,957,988
Goa,Murder-Sec 302 IPC,30,30
Gujarat,Murder-Sec 302 IPC,1120,1176
Haryana,Murder-Sec 302 IPC,1057,1090
Himachal Pradesh,Murder-Sec 302 IPC,101,103
Jammu & Kashmir,Murder-Sec 302 IPC,142,168
Jharkhand,Murder-Sec 302 IPC,1514,1517
Karnataka,Murder-Sec 302 IPC,1573,1640
Kerala,Murder-Sec 302 IPC,305,431
Madhya Pradesh,Murder-Sec 302 IPC,2004,2068
Maharashtra,Murder-Sec 302 IPC,2299,2395
Manipur,Murder-Sec 302 IPC,78,79
Meghalaya,Murder-Sec 302 IPC,108,110
Mizoram,Murder-Sec 302 IPC,29,33
Nagaland,Murder-Sec 302 IPC,36,46
Odisha,Murder-Sec 302 IPC,1328,1351
Punjab,Murder-Sec 302 IPC,771,804
Rajasthan,Murder-Sec 302 IPC,1551,1571
Sikkim,Murder-Sec 302 IPC,17,19
Tamil Nadu,Murder-Sec 302 IPC,1603,1683
Telangana,Murder-Sec 302 IPC,1046,1067
Tripura,Murder-Sec 302 IPC,145,149
Uttar Pradesh,Murder-Sec 302 IPC,4889,5055
Uttarakhand,Murder-Sec 302 IPC,194,194
West Bengal,Murder-Sec 302 IPC,2044,2119
A & N Islands,Murder-Sec 302 IPC,14,14
Chandigarh,Murder-Sec 302 IPC,26,26
D&N Haveli,Murder-Sec 302 IPC,5,5
Daman & Diu,Murder-Sec 302 IPC,4,4
Delhi,Murder-Sec 302 IPC,528,545
Lakshadweep,Murder-Sec 302 IPC,0,0
Puducherry,Murder-Sec 302 IPC,33,38
